MD (m RKB),Inc. (°),Azimuth (°)
0.0,0.0,0.0
145.9,0.0,0.0
148.15,0.0006981317007919152,2.425484061506094
150.4,0.0013962634015693975,2.4254840615179725
152.65,0.0016450669056700118,2.85927211229248
154.9,0.0027925268031909274,3.857701245683067
165.0,0.0017609366686563988,3.0474800165735187
175.10000000000002,0.0020532320651489577,2.320886175681982
185.20000000000002,0.0033380829578231186,1.8895968847827376
195.3,0.004886921905584123,1.7130406608324344
201.72500000000002,0.005637990761937717,1.4860651773957914
208.15,0.006606568605150631,1.3188288199898193
214.575,0.0077111239401062015,1.1968200279228984
221.0,0.00890117918517108,1.1063642128392055
224.65,0.009351881586290522,1.005288642144528
228.3,0.00988888126565679,0.9143377184635212
231.95,0.010498944772368901,0.8333464697736231
235.6,0.01117010721276371,0.7616616855703254
245.7,0.004883411809427196,1.6654135580101304
255.8,0.009228813401744862,2.9215789233951597
265.9,0.017571031638064394,3.094135121715059
276.0,0.026354471705114377,3.281742592524938
286.1,0.029235731121985298,3.100372775076075
296.2,0.03235062473699224,3.10225863899029
306.29999999999995,0.03546077524376523,3.1076089193849037
316.4,0.038571776469074684,3.112096589231089
326.47499999999997,0.04681968518494206,3.07858465243309
336.54999999999995,0.05510436381208694,3.055123256776244
346.625,0.06341140205128282,3.0377960213803763
356.7,0.07173303225696695,3.0244810607809733
366.79999999999995,0.087216887911715,3.0152620712466445
376.9,0.10270589924066975,3.0088174818226125
387.0,0.11819803940700213,3.004057062884481
397.1,0.13369222070276565,3.0003955171034518
407.20000000000005,0.1398984259414835,3.0349292932554928
417.3,0.1462553085292606,3.0665141824555455
427.4,0.1527440563522804,3.095460198045199
437.5,0.1593485607070823,3.1220449659674565
447.575,0.16566797738525696,3.1279719435359983
457.65,0.17199269163418052,3.1334670344679063
467.725,0.17832213973446587,3.138575889602122
477.8,0.18465583486100007,3.1433379828417873
487.9,0.1879693706759613,3.1299243521043296
498.0,0.1913148017918762,3.116972210844599
508.1,0.1946904838258774,3.104461852852607
518.2,0.1980948701013564,3.0923743686835534
528.2750000000001,0.19838160348764844,3.054510343265463
538.35,0.19894433851400417,3.0168059435192696
548.425,0.19978074257251,2.9793622384018814
558.5,0.20088739690454732,2.942276053012041
568.6,0.20434478721235116,2.907376535133467
578.7,0.20803609752034724,2.8736602491517305
588.8,0.2119491043625079,2.8411368606071634
598.9,0.21607176139689802,2.8098055627856713
609.0,0.22072121948616563,2.768593103772276
619.0999999999999,0.22571846274833907,2.729114769809567
629.1999999999999,0.23104092035081836,2.6913712059920565
639.3,0.2366666465704311,2.6553439239841725
649.375,0.23946322603636294,2.619095160437715
659.45,0.24255549577483237,2.5837101188270664
669.5250000000001,0.2459322989350916,2.5492381144833525
679.6,0.24958208303518914,2.5157175838246264
689.7,0.2551138809645288,2.4872988347046334
699.8,0.2608346191386477,2.4600802310438863
709.9,0.2667321361675423,2.43402103740796
720.0,0.2727949620867137,2.4090779665277733
730.1,0.2845871680718479,2.362978364090884
740.2,0.29690710852170477,2.320527232563636
750.3,0.3096917689293972,2.281421405395437
760.4,0.32288591161895097,2.245366082690705
770.4749999999999,0.3361233223146365,2.2130308182143232
780.55,0.34966237293935,2.1830820269275724
790.625,0.3634693159921809,2.1552978621590526
800.7,0.3775147172063735,2.1294762203582818
810.8000000000001,0.3869917781700696,2.106437441996387
820.9000000000001,0.3966458687824592,2.0844553079918646
831.0,0.40646434770578144,2.06347188671852
841.1,0.41643555952584704,2.043431488234961
851.2,0.42932918133149944,2.02875928790615
861.3,0.44229980895634013,2.014893248756901
871.4,0.455340839656887,2.0017684521281205
881.5,0.46844637123527805,1.989326281423137
891.575,0.4617617399043801,2.001642179472335
901.65,0.45513925182202875,2.014291866036431
911.7249999999999,0.44858167154535455,2.027286860966836
921.8,0.44209189953016365,2.04063896143177
931.9,0.42956807948408104,2.0490095177034524
942.0,0.41707227964704585,2.057850096629712
952.1,0.4046071045905746,2.0672031832032767
962.2,0.3921754829231258,2.0771163427984516
972.3000000000001,0.38052116238379874,2.089623256059406
982.4000000000001,0.3689240150110431,2.102878922505569
992.5,0.357389617518193,2.1169521335255315
1002.6,0.34592425774527613,2.1319196813110737
1012.7,0.3344880669002428,2.1347503774123657
1022.8,0.3230545298497649,2.1377736878764737
1032.9,0.31162393903487584,2.141010785863142
1043.0,0.30019663134302466,2.144486051925433
1053.075,0.2905968985453773,2.1454322075081294
1063.15,0.28099742779299897,2.1464411206280425
1073.225,0.27139824690986036,2.1475194528837926
1083.3,0.2617993877991494,2.148674842130219
1093.4,0.2735721043332886,2.128173869335022
1103.5,0.28544532354574903,2.1093305765203407
1113.6,0.29740700239032525,2.091958007907203
1123.7,0.30944687637859464,2.0758946123220556
1133.8000000000002,0.32683961691507313,2.0507987994797796
1143.9,0.34440510836148786,2.0281640491037676
1154.0,0.3621181848007793,2.0076511595366027
1164.1,0.37995817815916555,1.9889772155727379
1174.175,0.3988297784629411,1.9705625595784844
1184.25,0.41781230864640095,1.9537310291794405
1194.325,0.43689127348604284,1.938283312690221
1204.4,0.4560545335461183,1.9240509673985489
1214.5,0.47114424132070076,1.9143131182818516
1224.6,0.48627009313965575,1.9051362685756152
1234.6999999999998,0.5014288018095863,1.8964705628187426
1244.8,0.5166174585903216,1.8882717177326651
1254.9,0.5228616457156321,1.8962013666311133
1265.0,0.5291324533034643,1.9039606834463638
1275.1,0.5354289388577196,1.9115550120855387
1285.2,0.5417501998190398,1.9189895125677654
1295.3000000000002,0.5310458732467198,1.9280227024190424
