Bit Depth (MD) m,SWOB kips,DWOB kips,HKLD-96%,HKLD-97%,HKLD-98%,HKLD-99%
1900.677364,8.591219555555178,2.518559390468222,113.48480808179272,122.18871384322468,131.73082515354366,142.19723781917946
1900.9270114879998,8.602876108047415,2.5189281757544184,113.4758474138094,122.17904234379658,131.7203743680163,142.18593226161752
1901.1766589759998,8.63758776910538,2.519503262277887,113.44813208006856,122.14929327614888,131.68839571334792,142.15150804987343
1901.4263064639997,8.665653575998752,2.519755956441198,113.42568483767835,122.12532234244038,131.6627543534469,142.12403445711635
1901.6759539519996,8.66948471880302,2.519379333321679,113.42177308408533,122.12139910607135,131.65881852848477,142.120084824161
1901.9256014399996,8.670192411541239,2.518878103896994,113.42648374093392,122.12626606387211,131.66385683936838,142.12531108632874
1902.1752489279995,8.623453316440724,2.518731562190812,113.46948784596773,122.17187550263986,131.71232251132275,142.1769096619173
1902.4248964159995,8.563896369118394,2.5187016859541678,113.51433431266906,122.21976557558528,131.76354929658584,142.23179637179533
1902.6745439039994,8.55402492557963,2.5179930175806158,113.51129983442242,122.21704997353126,131.76118327921344,142.22981380179843
1902.9241913919993,8.623067782605053,2.5164953337342886,113.44973515012913,122.15174238466001,131.69177233570042,142.15590203015668
1903.1738388799993,8.693709612448686,2.5155895514383366,113.39479153651887,122.09311208769255,131.62910031954107,142.08879679166677
1903.4234863679992,8.724214547463749,2.5158611634038173,113.37607778405662,122.07296532730979,131.6073825493772,142.06535583507835
1903.6731338559991,8.694721132810008,2.5169533023352337,113.40284035757237,122.10141810320069,131.63768829790382,142.0976940453562
1903.922781343999,8.659516996192403,2.517802328598892,113.43111232425223,122.13158317708594,131.66992878944313,142.13221099091234
1904.172428831999,8.658460928587038,2.5183356403275203,113.43041625086829,122.13085423775406,131.66916381909917,142.1314064993944
1904.422076319999,8.707443905962752,2.518191509252873,113.3863098466194,122.08396757256027,131.61922914762692,142.07812857500036
1904.671723807999,8.713871055435746,2.5170709972196246,113.36961652894335,122.06681391110607,131.60157081026145,142.0599166760406
1904.9213712959988,8.660412902325,2.5156759102760016,113.4021827597441,122.10231410873057,131.64028752226238,142.10216147168194
1905.1710187839988,8.575537545662083,2.514844884320569,113.4608073018787,122.16562933410441,131.70874515413934,142.17625963182425
1905.4206662719987,8.50483978298359,2.518558894741643,113.51188704088578,122.2206953035815,131.76818123697663,142.24048914122457
1905.6703137599986,8.483599550742362,2.564414554475596,113.52672878473983,122.23672333786068,131.78550980409622,142.25924421794463
1905.9199612479986,8.679155536056665,2.7938726086444015,113.37732097008733,122.07657407359271,131.61358466464367,142.07440252730416
1906.1696087359985,9.2447894373362,3.3918233968687974,112.94812890269739,121.61641483816875,131.11947605379618,141.54305601790696
1906.4192562239984,9.806039832254788,4.168754733138757,112.52472302763668,121.16242756981374,130.63196233572566,141.0187682939038
1906.6689037119984,9.753429947574434,4.25495978726849,112.5671852831272,121.2078649700279,130.68066139373983,141.07104495182202
1906.9185511999983,9.25417431008373,3.5761819548636065,112.95159885005624,121.61963155292422,131.12241514908337,141.54569060197815
1907.1681986879983,8.829552097021539,2.808725649082354,113.27788355850903,121.96903428473189,131.4971622214864,141.94823700712658
1907.4178461759982,8.708337365351614,2.5311143853197184,113.37111066785398,122.06872543064678,131.6039399051183,142.0627876694741
1907.6674936639981,8.628596207045597,2.5129572828175277,113.42980121780573,122.13156921940993,131.67133689885893,142.13517891665563
1907.917141151998,8.602910786235633,2.513932186150829,113.45011148411228,122.15316988755028,131.69435223740948,142.15974595836883
1908.166788639998,8.645400101585128,2.514853441065461,113.41644634282574,122.11710079256855,131.6556476826269,142.11815065866185
1908.416436127998,8.696046141665928,2.5153859488768155,113.37519206594752,122.07318663917081,131.608817500665,142.06812198557924
1908.6660836159979,8.720598164253706,2.5155508796304855,113.35704314174382,122.05391286548951,131.58831055199104,142.04626240980411
1908.9157311039978,8.706618728389197,2.5157370543686266,113.36826138430666,122.06594041514117,131.6012253468103,142.06015039323515
1909.1653785919978,8.66847684325879,2.5159890290682303,113.39758766529542,122.09715257221202,131.63450499403854,142.09569779908256
1909.4150260799977,8.647027845418917,2.5160651144559885,113.4156700713341,122.11622760540928,131.65466824660493,142.11705468192815
1909.6646735679976,8.652624468224822,2.5161914183866267,113.41908730392625,122.11943799682943,131.65765187758666,142.11978958720886
1909.9143210559976,8.693754899659588,2.5163001762370216,113.39261665121634,122.09083214550044,131.62670520324653,142.0862753448732
1910.1639685439975,8.725744685965273,2.515948193561229,113.36849488928291,122.06497443662057,131.59894437185528,142.05642704406236
1910.4136160319974,8.723346810187223,2.515400436528114,113.37126382281339,122.06784263168869,131.60192138756867,142.05952342138687
1910.6632635199974,8.69030106575142,2.5153824166148824,113.39739894539031,122.09578312047509,131.63184110335936,142.09161408298962
1910.9129110079973,8.64398735286324,2.5154855546303008,113.4340800125941,122.13507005590763,131.67398485794652,142.1368913839388
1911.1625584959972,8.59687259800314,2.514803784386049,113.47343654373356,122.17715118412639,131.71905296802362,142.18523581135676
1911.4122059839972,8.581259369217008,2.5136290682522433,113.4882879763505,122.19301253993046,131.73602150487164,142.2034187768909
1911.6618534719971,8.594763380302384,2.513089648836068,113.48018581208497,122.18428008031063,131.72659805104823,142.19323739536685
1911.911500959997,8.60620670003293,2.5137117215220552,113.47349134623704,122.17695317159558,131.7185777938066,142.184456628049
